日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,094102,11141.454E,4048.218N,1058,6.667
20171005,094103,11141.454E,4048.217N,1057,5.741
20171005,094104,11141.453E,4048.216N,1057,6.297
20171005,094105,11141.452E,4048.215N,1056,5.556
20171005,094106,11141.451E,4048.214N,1056,6.482
20171005,094107,11141.450E,4048.214N,1055,7.593
20171005,094108,11141.449E,4048.213N,1055,8.149
20171005,094109,11141.447E,4048.213N,1055,8.519
20171005,094110,11141.445E,4048.212N,1054,7.964
20171005,094111,11141.444E,4048.212N,1054,7.778
20171005,094112,11141.442E,4048.211N,1054,5.556
20171005,094113,11141.442E,4048.211N,1053,0.185
20171005,094115,11141.441E,4048.211N,1054,0.000
20171005,094115,11141.441E,4048.211N,1054,0.000
20171005,094116,11141.441E,4048.211N,1054,0.000
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,094117,11141.441E,4048.211N,1054,0.000
20171005,094118,11141.441E,4048.211N,1054,0.000
20171005,094119,11141.441E,4048.211N,1054,0.185
20171005,094120,11141.440E,4048.210N,1054,0.556
20171005,094121,11141.438E,4048.211N,1054,14.816
20171005,094123,11141.430E,4048.212N,1053,19.631
20171005,094124,11141.425E,4048.212N,1053,19.076
20171005,094124,11141.425E,4048.212N,1053,19.076
20171005,094125,11141.421E,4048.212N,1053,19.076
20171005,094126,11141.417E,4048.211N,1053,17.964
20171005,094127,11141.414E,4048.210N,1052,16.483
20171005,094128,11141.412E,4048.208N,1052,13.890
20171005,094129,11141.410E,4048.207N,1052,12.408
20171005,094130,11141.409E,4048.205N,1053,11.668
20171005,094131,11141.408E,4048.203N,1053,10.371
20171005,094132,11141.409E,4048.201N,1052,11.482
20171005,094133,11141.409E,4048.199N,1052,14.446
20171005,094134,11141.410E,4048.197N,1052,16.853
20171005,094135,11141.411E,4048.195N,1051,19.446
20171005,094136,11141.412E,4048.192N,1051,20.002
20171005,094137,11141.413E,4048.189N,1051,19.631
20171005,094138,11141.414E,4048.186N,1051,19.446
20171005,094140,11141.417E,4048.180N,1051,21.854
20171005,094140,11141.417E,4048.180N,1050,21.854
20171005,094141,11141.418E,4048.177N,1050,22.224
20171005,094142,11141.420E,4048.173N,1049,23.335
20171005,094144,11141.423E,4048.166N,1049,24.261
20171005,094144,11141.423E,4048.166N,1049,24.261
20171005,094145,11141.425E,4048.163N,1048,24.261
20171005,094147,11141.427E,4048.156N,1048,22.780
20171005,094148,11141.429E,4048.152N,1047,24.446
20171005,094148,11141.429E,4048.152N,1047,24.446
20171005,094149,11141.430E,4048.149N,1046,24.817
20171005,094150,11141.432E,4048.145N,1046,24.817
20171005,094151,11141.433E,4048.142N,1046,26.298
20171005,094152,11141.435E,4048.138N,1046,26.854
20171005,094153,11141.437E,4048.134N,1045,25.002
20171005,094154,11141.438E,4048.130N,1045,24.076
20171005,094155,11141.440E,4048.126N,1045,22.409
20171005,094156,11141.442E,4048.123N,1045,22.965
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,094157,11141.443E,4048.120N,1044,22.594
20171005,094158,11141.444E,4048.117N,1044,21.113
20171005,094159,11141.446E,4048.114N,1044,21.113
20171005,094200,11141.447E,4048.111N,1043,21.113
20171005,094201,11141.448E,4048.108N,1043,21.113
20171005,094202,11141.450E,4048.105N,1043,21.854
20171005,094203,11141.451E,4048.102N,1042,21.854
20171005,094204,11141.452E,4048.098N,1042,20.928
20171005,094205,11141.453E,4048.096N,1042,18.890
20171005,094206,11141.453E,4048.093N,1042,17.409
20171005,094207,11141.452E,4048.091N,1041,16.668
20171005,094208,11141.451E,4048.088N,1041,15.927
20171005,094209,11141.449E,4048.087N,1041,14.446
20171005,094210,11141.446E,4048.086N,1041,16.483
20171005,094211,11141.443E,4048.085N,1042,17.594
20171005,094213,11141.436E,4048.083N,1042,15.186
20171005,094214,11141.433E,4048.082N,1042,15.001
20171005,094214,11141.433E,4048.082N,1041,15.001
20171005,094215,11141.431E,4048.081N,1041,14.260
20171005,094216,11141.428E,4048.081N,1041,14.075
20171005,094218,11141.423E,4048.079N,1041,13.334
20171005,094218,11141.423E,4048.079N,1041,13.334
20171005,094220,11141.419E,4048.078N,1041,10.927
20171005,094220,11141.419E,4048.078N,1042,10.927
20171005,094221,11141.417E,4048.077N,1042,7.223
20171005,094223,11141.414E,4048.076N,1042,7.408
20171005,094223,11141.414E,4048.076N,1042,7.408
20171005,094224,11141.413E,4048.076N,1042,6.852
20171005,094226,11141.411E,4048.075N,1042,5.741
20171005,094226,11141.411E,4048.075N,1043,5.741
20171005,094228,11141.408E,4048.075N,1043,7.223
20171005,094228,11141.408E,4048.075N,1044,7.223
20171005,094230,11141.404E,4048.074N,1044,7.223
20171005,094231,11141.402E,4048.074N,1044,6.112
20171005,094232,11141.401E,4048.075N,1045,6.112
20171005,094232,11141.401E,4048.075N,1045,6.112
20171005,094233,11141.400E,4048.076N,1046,7.964
20171005,094235,11141.400E,4048.078N,1046,5.000
20171005,094235,11141.400E,4048.078N,1047,5.000
20171005,094237,11141.401E,4048.079N,1047,5.000
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,094237,11141.401E,4048.079N,1047,5.000
20171005,094239,11141.402E,4048.080N,1048,4.630
20171005,094239,11141.402E,4048.080N,1048,4.630
20171005,094240,11141.403E,4048.080N,1048,3.148
20171005,094241,11141.403E,4048.080N,1049,3.148
20171005,094242,11141.404E,4048.080N,1049,2.963
20171005,094244,11141.405E,4048.080N,1049,2.593
20171005,094244,11141.405E,4048.080N,1049,2.593
20171005,094245,11141.405E,4048.081N,1049,2.778
20171005,094247,11141.407E,4048.081N,1049,2.222
20171005,094247,11141.407E,4048.081N,1049,2.222
20171005,094249,11141.407E,4048.081N,1050,0.741
20171005,094250,11141.407E,4048.081N,1050,0.000
20171005,094250,11141.407E,4048.081N,1050,0.000
20171005,094252,11141.408E,4048.081N,1050,0.000
20171005,094253,11141.408E,4048.081N,1050,0.000
20171005,094253,11141.408E,4048.081N,1050,0.000
20171005,094255,11141.408E,4048.081N,1050,0.000
20171005,094256,11141.408E,4048.081N,1050,0.000
20171005,094256,11141.408E,4048.081N,1050,0.000
20171005,094258,11141.408E,4048.081N,1050,0.000
20171005,094258,11141.408E,4048.081N,1050,0.000
20171005,094300,11141.408E,4048.081N,1050,0.000
20171005,094300,11141.408E,4048.081N,1050,0.000
20171005,094302,11141.408E,4048.081N,1050,0.000
20171005,094303,11141.408E,4048.081N,1050,0.000
20171005,094303,11141.408E,4048.081N,1050,0.000
20171005,094305,11141.408E,4048.081N,1050,0.000
20171005,094305,11141.408E,4048.081N,1050,0.000
20171005,094306,11141.408E,4048.081N,1050,0.000
20171005,094307,11141.408E,4048.081N,1050,0.000
20171005,094309,11141.408E,4048.081N,1050,0.000
20171005,094310,11141.408E,4048.081N,1050,0.000
20171005,094310,11141.408E,4048.081N,1050,0.000
20171005,0A4310,11141.408E,4048.081N,1050,0.000
